mission,timestamp_met,timestamp_utc,maneuver_name,category,system_boundary,value_raw,unit_raw,value_normalized,unit_normalized,confidence,source_doc,source_section,notes
Apollo 11,,,Earth parking orbit,timeline,unknown,100.7 x 99.2,statute miles,,statute miles,CONFIRMED-PRIMARY,Apollo 11 Mission Report (NASA-TM-X-62633),Sec 3.0 Mission Description,Actual earth parking orbit achieved
Apollo 11,2.7377777777777776,1969-07-16 16:16:16,Translunar Injection (TLI) accuracy,propulsion,upper_stage,1.6,ft/sec,0.48768000000000006,m/s,CONFIRMED-PRIMARY,Apollo 11 Mission Report (NASA-TM-X-62633),Sec 4.3 / 3.0,Velocity within 1.6 ft/sec of planned TLI cutoff velocity
Apollo 11,,,TLI overspeed intentional,propulsion,upper_stage,6.5,ft/sec,1.9812,m/s,CONFIRMED-PRIMARY,Apollo 11 Mission Report (NASA-TM-X-62633),Sec 4.5,S-IVB targeted 6.5 ft/sec in excess of free-return velocity requirement
Apollo 11,,,SPS correction cancelling TLI overspeed,propulsion,upper_stage,20,ft/sec,6.096,m/s,CONFIRMED-PRIMARY,Apollo 11 Mission Report (NASA-TM-X-62633),Sec 4.5,Service propulsion correction to cancel planned overspeed
Apollo 11,26.5,1969-07-17 16:02:00,First (only) midcourse correction,propulsion,spacecraft_engine,ft/sec,at ~26.5 hr MET,,at ~26.5 hr MET,CONFIRMED-PRIMARY,Apollo 11 Mission Report (NASA-TM-X-62633),Sec 3.0,Only 1 of 4 planned midcourse correction options exercised; performed with SPS
Apollo 11,,,Lunar Orbit Insertion (LOI-1),propulsion,spacecraft_engine,,,,,CONFIRMED-PRIMARY,Apollo 11 Mission Report (NASA-TM-X-62633),Sec 4.6,6-minute SPS burn; resulting orbit 169.9 x 60.9 mi (onboard) vs 169.7x60 planned
Apollo 11,,,LOI-1 residuals,propulsion,spacecraft_engine,0.1,ft/sec,0.030480000000000004,m/s,CONFIRMED-PRIMARY,Apollo 11 Mission Report (NASA-TM-X-62633),Sec 4.6,Residual velocity error in all axes after LOI burn
Apollo 11,,,Lunar orbit circularization (LOI-2),propulsion,spacecraft_engine,,,,,CONFIRMED-PRIMARY,Apollo 11 Mission Report (NASA-TM-X-62633),Sec 4.6,SPS burn (bank-A valves only); resulting orbit 66.1 x 54.4 mi (onboard) vs 66x54 planned
Apollo 11,101.6,1969-07-20 19:08:00,Descent Orbit Insertion (DOI),propulsion,rcs_auxiliary,,,,,CONFIRMED-PRIMARY,Apollo 11 Mission Report (NASA-TM-X-62633),Sec 4.10.1,DPS burn; resulting orbit 9.1 x 57.2 mi vs 8.5x57.2 predicted
Apollo 11,,,DOI residuals,timeline,unknown,1,ft/sec,0.3048,m/s,CONFIRMED-PRIMARY,Apollo 11 Mission Report (NASA-TM-X-62633),Sec 4.10.1,Guided cutoff residuals in each axis (<1 ft/sec)
Apollo 11,102.0,1969-07-20 19:32:00,Powered Descent Initiation to landing,propulsion,rcs_auxiliary,~12,minutes,,minutes,CONFIRMED-PRIMARY,Apollo 11 Mission Report (NASA-TM-X-62633),Sec 3.0 / 5.3,Powered descent duration (PDI to touchdown)
Apollo 11,,,RCS propellant used during powered descent,propulsion,rcs_auxiliary,95,lb,43.09127515,kg,CONFIRMED-PRIMARY,Apollo 11 Mission Report (NASA-TM-X-62633),Sec 5.3,Actual reaction control propellant consumption during descent (vs 40 lb predicted)
Apollo 11,,,RCS propellant predicted (powered descent),propulsion,rcs_auxiliary,40,lb,18.143694800000002,kg,CONFIRMED-PRIMARY,Apollo 11 Mission Report (NASA-TM-X-62633),Sec 5.3,Predicted reaction control propellant for descent
Apollo 11,,,RCS propellant - manual descent mode share,propulsion,rcs_auxiliary,51,lb,23.133210870000003,kg,CONFIRMED-PRIMARY,Apollo 11 Mission Report (NASA-TM-X-62633),Sec 5.3,Portion of descent RCS propellant used while in manual mode (~1.5x automatic-mode rate)
Apollo 11,,,Landing velocity,timeline,unknown,2.1 lateral / 1.7 vertical,ft/sec,,ft/sec,CONFIRMED-PRIMARY,Apollo 11 Mission Report (NASA-TM-X-62633),Sec 5.4,Touchdown velocity components
Apollo 11,124.36666666666666,1969-07-21 17:54:00,Lunar ascent orbit insertion,propulsion,rcs_auxiliary,,,,,CONFIRMED-PRIMARY,Apollo 11 Mission Report (NASA-TM-X-62633),Sec 5.6 / 5.15,Powered ascent; PGNS orbit 47.3x9.5 mi vs AGS 46.6x9.5 mi
Apollo 11,,,Ascent guided cutoff residuals,propulsion,rcs_auxiliary,2,ft/sec,0.6096,m/s,CONFIRMED-PRIMARY,Apollo 11 Mission Report (NASA-TM-X-62633),Sec 4.14,Residuals at ascent insertion (<2 ft/sec)
Apollo 11,,,Coelliptic Sequence Initiation (CSI),propulsion,rcs_auxiliary,51.5,ft/sec,15.6972,m/s,CONFIRMED-PRIMARY,Apollo 11 Mission Report (NASA-TM-X-62633),Sec 5.7,LM RCS maneuver (Z-axis thrusters)
Apollo 11,,,Constant Differential Height (CDH) maneuver,propulsion,rcs_auxiliary,19.9,ft/sec,6.06552,m/s,CONFIRMED-PRIMARY,Apollo 11 Mission Report (NASA-TM-X-62633),Sec 5.7,Total velocity change (nominal case would be ~0; ellipticity + execution errors drove this up)
Apollo 11,127.06083333333333,1969-07-21 20:35:39,Terminal Phase Initiation (TPI),propulsion,rcs_auxiliary,,,,,CONFIRMED-PRIMARY,Apollo 11 Mission Report (NASA-TM-X-62633),Sec 5.7,Ignition ~6 min 39 sec later than planned
Apollo 11,,,Transearth Injection (TEI),propulsion,spacecraft_engine,150,seconds,150.0,s,CONFIRMED-PRIMARY,Apollo 11 Mission Report (NASA-TM-X-62633),Sec 3.0 / 4.17,Final SPS firing of the flight; 150-second duration; during 31st lunar revolution
Apollo 11,,,Second (transearth) midcourse correction,propulsion,spacecraft_engine,4.8,ft/sec,1.4630400000000001,m/s,CONFIRMED-PRIMARY,Apollo 11 Mission Report (NASA-TM-X-62633),Sec 4.18,Only one midcourse correction needed during transearth coast (RCS firing)
Apollo 11,,,Entry interface,timeline,unknown,400000,feet,,feet,CONFIRMED-PRIMARY,Apollo 11 Mission Report (NASA-TM-X-62633),Sec 4.19 / Table 3-II,Command module/service module separation ~15 min before entry interface
Apollo 11,,,Landing point relocation,timeline,unknown,215,statute miles,346.00896,km,CONFIRMED-PRIMARY,Apollo 11 Mission Report (NASA-TM-X-62633),Sec 4.19,Landing point moved downrange due to weather (from 1285 mi to 1500 mi entry-interface range)
Apollo 11,,,Entry g-loads,timeline,unknown,6.5 first pulse / 6.0 second pulse,g,,g,CONFIRMED-PRIMARY,Apollo 11 Mission Report (NASA-TM-X-62633),Sec 4.19,Peak entry acceleration pulses
Apollo 11,195.30972222222223,1969-07-24 16:50:35,Splashdown,timeline,unknown,,,,,CONFIRMED-PRIMARY,Apollo 11 Mission Report (NASA-TM-X-62633),Table 3-II,Landing in Pacific Ocean; total mission duration 8 days 3 hr 18 min 35 sec
Apollo 11,,,SPS propellant loaded/consumed/remaining,propulsion,spacecraft_engine,PENDING,lb,,lb,TO_BE_RE-VERIFIED,Apollo 11 Mission Report (NASA-TM-X-62633),Sec 8.8 (not yet extracted),"Table not yet located in extracted text (section 8.8 Service Propulsion); previously reported as 40,803/35,739/5,064 lb total; needs re-verification against this primary source directly"
